MC_id,success,message,final_storage,total_runoff,total_AET,theta_top_final,theta_bottom_final,layer1_thetas,layer1_thetar,layer1_alpha,layer1_N,layer1_Ksat,layer2_thetas,layer2_thetar,layer2_alpha,layer2_N,layer2_Ksat,layer3_thetas,layer3_thetar,layer3_alpha,layer3_N,layer3_Ksat,layer4_thetas,layer4_thetar,layer4_alpha,layer4_N,layer4_Ksat,layer5_thetas,layer5_thetar,layer5_alpha,layer5_N,layer5_Ksat,layer6_thetas,layer6_thetar,layer6_alpha,layer6_N,layer6_Ksat,layer7_thetas,layer7_thetar,layer7_alpha,layer7_N,layer7_Ksat,layer8_thetas,layer8_thetar,layer8_alpha,layer8_N,layer8_Ksat
0,True,The solver successfully reached the end of the integration interval.,848.4061344923331,2809.67711272622,0.7804324290266195,0.42651480243192413,0.42725485804101604,0.4266896204290336,0.11907825608180277,0.5654117548903006,1.3622431384723581,0.11789929401637764,0.42108260987626167,0.10884376383880552,0.6902356431661558,1.2664482081362125,0.11755929125505488,0.41359451621640403,0.10716559440467559,0.6823423913174457,1.3754970807755504,0.11795570520210714,0.4176954300301977,0.09906142347427116,0.5159432558298686,1.4533404862163621,0.2180892247990643,0.4279745204350904,0.12049902050442729,0.4917206015785545,1.4658280779991646,0.13017158939604648,0.41735976384964646,0.09895537714503327,0.7118001198453603,1.3621215031066707,0.05100179084599375,0.42613290968317613,0.09290262573724711,0.523185775922801,1.416025546948439,0.022962829189978034,0.42725485804101604,0.09895084398117839,0.5272541870751634,1.3687203132874057,0.013993583971487977
1,True,The solver successfully reached the end of the integration interval.,839.3156084286562,3032.112594524884,0.5498639095998877,0.42457511215502586,0.4197631340250909,0.4246882596273688,0.12130959638834257,0.8538816880367218,1.3580011746989338,0.1179243929852808,0.42679833389614935,0.1186159919760294,0.6574962896641892,1.3816976649717345,0.1177948778150427,0.4155539118041273,0.11958898120173328,0.5583597525130859,1.361306073731331,0.11806477500051583,0.40949901597254945,0.11336782419311445,0.7280904830299043,1.400747835095627,0.21882480338849003,0.4258569067647029,0.10698767003204923,0.5479939844307032,1.4492345644809617,0.12980140526792902,0.41179329384671304,0.0996999221485737,0.8159205562892263,1.4229712461628914,0.05094379835767536,0.4251175120460511,0.08521345345029424,0.4363576432853178,1.3694151479150396,0.023091576146389504,0.4197631340250909,0.11284226035248773,0.6423952040324311,1.4155929720620117,0.013973866449932397
2,True,The solver successfully reached the end of the integration interval.,858.8264501055232,2865.4444281026827,0.7425496376654528,0.4397949669232843,0.44346856344406027,0.4399712464110712,0.10401086521597729,0.6111717028281495,1.331597333667773,0.11736692768872467,0.41677375654743476,0.10660185903180286,0.9814965181767223,1.3761138131716588,0.11812167822769791,0.4076319767292617,0.10185058814819539,0.6487936101344584,1.3828239457981808,0.11834820629302374,0.4134998426920249,0.11132487423108238,0.552632678796066,1.3659781986862374,0.21901695611958596,0.4198521319010959,0.10823835164613095,0.3864220519108183,1.3902279018717891,0.1304709709087353,0.4166239963310455,0.08831383070643473,0.553686724412691,1.3791354056723932,0.051031682042569304,0.42071516130475695,0.1142617441605253,0.724493157069262,1.3489946128301453,0.022898354167363185,0.44346856344406027,0.10105031537871588,0.6138294465607607,1.4314810868313186,0.013995666210095282
3,True,The solver successfully reached the end of the integration interval.,852.6521302327018,2851.786770248794,0.7559107428992011,0.4346359450537183,0.4299871522074346,0.4348099045593971,0.11452757160581037,0.6475382969289375,1.4344342780039587,0.11826841852116733,0.4419961445100644,0.1050344626896713,0.6880234861534612,1.3826902360838849,0.11844349682850694,0.4073135342587397,0.10994050351318155,0.8040182887199906,1.3314678881158208,0.1184014585508761,0.41325787896282806,0.0963420303718907,0.5140020609070397,1.3694990900653714,0.2191295674685754,0.4135893641610829,0.11457716740036275,0.6575755343582181,1.3721381607175887,0.13010076100616094,0.4305387099962605,0.11421468567919536,0.7809225871455933,1.387584727581906,0.0509351842812492,0.41758345897170923,0.1153027183137639,0.5552979108104923,1.326944936276331,0.022898643471288258,0.4299871522074346,0.10607367970167547,0.6894762350548149,1.3640941715894876,0.014001766403675023
4,True,The solver successfully reached the end of the integration interval.,861.6869962666394,3032.0986144655167,0.5832187417855892,0.4458946924849711,0.43609179315596436,0.44602731739309814,0.11050573956789163,0.8332908604343288,1.3750974562049494,0.11813919379307712,0.4338734877490258,0.10744002322892149,0.7634400610984798,1.3826938775272386,0.11810385332468064,0.41664753811752814,0.10653517726128905,0.7055848689539419,1.3710236875650392,0.11829433508278896,0.4341324720901997,0.10285619674530808,0.6816112491449053,1.3987718959397881,0.21826777655593857,0.40683260551373146,0.11237000662029419,0.5129734824854593,1.3939159767255682,0.1302529545944796,0.42058887011190693,0.11022318543688753,0.5326490826614508,1.3333541462984322,0.050990784836652765,0.4301574947016254,0.09996301636393583,0.7362332893155021,1.3432097566411791,0.02300869119611647,0.43609179315596436,0.0980119588529193,0.5344843236831778,1.379660264184626,0.014010875427966585
5,True,The solver successfully reached the end of the integration interval.,841.6530946990908,3088.806256251999,0.5151914733963838,0.432198597326663,0.4127735081946896,0.4323098787265001,0.1003986604604595,0.9533288355822077,1.3968816176341916,0.1180503283576581,0.4325743921373085,0.12526049037960338,0.7435011734276482,1.3663365396851972,0.11801015466803731,0.4212843391992772,0.10282871106809297,0.7116761937806005,1.3778840333711175,0.11823838834391404,0.419498459850442,0.10369820046266173,0.5700742157830319,1.3968477233525123,0.2191537311799581,0.4340543565850561,0.09317909666359396,0.637693837055529,1.4214710699406363,0.1297126236924275,0.42545412032716295,0.10435981571677366,0.5990647351416243,1.2957439008989735,0.051009930969572244,0.42209743509683,0.10412465478675231,0.4964155421848559,1.425484173729317,0.02298888455701507,0.4127735081946896,0.11777421264848738,0.814431445199223,1.3825261581033665,0.01406252999177421
6,True,The solver successfully reached the end of the integration interval.,851.5329210179193,2981.4236632915963,0.6616507394090106,0.4279577494599202,0.4269103501528329,0.4280449508447181,0.11440115953848003,0.9762183010689846,1.3246015717960524,0.11835514479807617,0.4327323142127319,0.09799554712834958,0.5244419354821381,1.3779438817525194,0.11830667115939106,0.42223755579905514,0.10785927520403471,0.7031651533180022,1.3868771288402426,0.11775364028644239,0.4242263780475813,0.1005708513640402,0.6801567699953119,1.4587483041672893,0.21863768276332374,0.42533392216373006,0.11624109024426535,0.683828335611117,1.4088491173776274,0.1303785291688493,0.42819365506979756,0.10364703777270116,0.7905751942069349,1.3749004181066902,0.05082224263623375,0.4179388191870842,0.106605653895551,0.7575086645665258,1.3626224553593669,0.022976694719530188,0.4269103501528329,0.10804651915464478,0.7774760024966113,1.3998129900789424,0.01403477366901021
7,True,The solver successfully reached the end of the integration interval.,841.0711558477457,2840.6561782829986,0.7677528806775169,0.42801254501623964,0.4280605175546804,0.4281987518852927,0.10648854182684965,0.5751965391972753,1.4068629494384126,0.11822006795185849,0.425477693302505,0.1079171283614262,0.732971275312092,1.3825598201884042,0.11798578005020993,0.4168840024735309,0.12450203375233823,0.5687846722290393,1.3527005166218267,0.11796592216750808,0.43132991383677555,0.1109819981825111,0.4659438802847462,1.3999744936421226,0.21901038925617922,0.4179877801259167,0.11653106107032696,0.5649922581505681,1.4103572327273426,0.12971598824667174,0.40615036338758653,0.10281022266995654,0.4942863235340961,1.3524728340227006,0.050914740414901315,0.40523274974598444,0.11590854039276524,0.6551922529901314,1.3131596179985798,0.023009063423427872,0.4280605175546804,0.09316631743540711,0.42462776595194984,1.4120337590762542,0.014022981471365142
8,True,The solver successfully reached the end of the integration interval.,846.4758416555246,3036.964955698699,0.5691862219427208,0.4241247171965225,0.4251706359972212,0.42429254346109074,0.10496426547651044,0.629974045011952,1.3677179305006875,0.11810082400563948,0.45255186192063457,0.10113721260205702,0.8629008841022372,1.3894907434683414,0.11829976370181983,0.4225918278842393,0.1135731718426134,0.6284729808963181,1.4547997380460946,0.11835637662844203,0.4262897076086118,0.10004147614024847,0.619132998778039,1.3691609244420442,0.2186240173724191,0.4181333992116025,0.11638955055415523,0.5637158952557759,1.3148057567989362,0.1300650457846121,0.40589261225544476,0.0800264691450653,0.7043308479460894,1.3862788950640392,0.051071454012367574,0.4240634132300227,0.11164418315102724,0.43623134919779527,1.4384248044545633,0.02293398319839119,0.4251706359972212,0.11261187587460211,0.752654570224388,1.3617885343938516,0.014011679186656453
9,True,The solver successfully reached the end of the integration interval.,857.9381912074663,2920.7304755622927,0.6817953083596004,0.4365308606881968,0.44438488824495204,0.4366968390344228,0.11223282373836582,0.6472220449606209,1.36246562652433,0.11866038543103792,0.43165139234299565,0.10404189479766908,0.6672927954004422,1.3585553616059587,0.1183808095695153,0.41443202104988663,0.10710104893307806,0.7157740873697493,1.4159677974147342,0.11800748251774724,0.419338364661289,0.11007975739544308,0.6623051944203637,1.3885316622017303,0.2175655251702041,0.4045627504767123,0.09813962267290022,0.5520169087950274,1.4121548176098753,0.13020943849261266,0.41527315343615323,0.09320096956706263,0.7349751692396754,1.4106031444668803,0.05114885508774238,0.41535241782354215,0.11039904247087522,0.5122309508292524,1.3998439541093521,0.022910802091207036,0.44438488824495204,0.12809352602400442,0.5618173163719893,1.371003032331501,0.014030369542439067
